score,city,date,measurement_kind,unit,unique_accounts,signal_count,trade_rows,active_position_rows,active_value_usdc,trade_usdc,top_temperatures,market_type_counts,side_counts,top_handles
70.73,London,December 29,highest,C,3,7,5,2,23.18,0.0,"[{""label"": ""6C"", ""count"": 5}, {""label"": ""8C"", ""count"": 2}]","{""exact_value"": 7}","{""SELL"": 3, ""YES"": 2, ""BUY"": 2}","[{""handle"": ""marchyel"", ""count"": 5}, {""handle"": ""Walter-Weather"", ""count"": 1}, {""handle"": ""neophyt"", ""count"": 1}]"
70.61,Chongqing,March 22,highest,C,3,7,1,6,11.32,0.0,"[{""label"": ""22C"", ""count"": 3}, {""label"": ""20C"", ""count"": 1}, {""label"": ""19C"", ""count"": 1}, {""label"": ""17C"", ""count"": 1}, {""label"": ""23C"", ""count"": 1}]","{""exact_value"": 7}","{""YES"": 6, ""SELL"": 1}","[{""handle"": ""0x173516ae13b47be650a6df996ec4ff2f24950319"", ""count"": 4}, {""handle"": ""GbushiCshuo"", ""count"": 2}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 1}]"
70.55,Miami,February 22,highest,F,3,5,0,5,305.27,0.0,"[{""label"": ""88-89F"", ""count"": 3}, {""label"": ""86-87F"", ""count"": 2}]","{""exact_range"": 5}","{""NO"": 3, ""YES"": 2}","[{""handle"": ""0xhana"", ""count"": 2}, {""handle"": ""0x22AB768409A2C6ef788F5c32CFb6d1aB4eCbd485-1760969593818"", ""count"": 2}, {""handle"": ""Andyminvest"", ""count"": 1}]"
70.54,Miami,April 19,highest,F,3,7,6,1,4.3,0.0,"[{""label"": ""88-89F"", ""count"": 6}, {""label"": ""82-83F"", ""count"": 1}]","{""exact_range"": 7}","{""BUY"": 6, ""YES"": 1}","[{""handle"": ""punch-the-macaque"", ""count"": 5}, {""handle"": ""GbushiCshuo"", ""count"": 1}, {""handle"": ""cyberkurajber"", ""count"": 1}]"
70.52,Shanghai,April 3,highest,C,3,7,5,2,1.64,0.0,"[{""label"": ""17C"", ""count"": 5}, {""label"": ""18C"", ""count"": 1}, {""label"": ""20C or higher"", ""count"": 1}]","{""exact_value"": 6, ""threshold_high"": 1}","{""BUY"": 4, ""YES"": 2, ""SELL"": 1}","[{""handle"": ""GbushiCshuo"", ""count"": 4}, {""handle"": ""0x173516ae13b47be650a6df996ec4ff2f24950319"", ""count"": 2}, {""handle"": ""tianqizhishen"", ""count"": 1}]"
70.25,Seattle,April 5,highest,F,3,5,1,4,275.06,0.0,"[{""label"": ""66-67F"", ""count"": 3}, {""label"": ""64-65F"", ""count"": 1}, {""label"": ""74F or higher"", ""count"": 1}]","{""exact_range"": 4, ""threshold_high"": 1}","{""YES"": 2, ""NO"": 2, ""BUY"": 1}","[{""handle"": ""Amano-Hina"", ""count"": 2}, {""handle"": ""0x98e9cf8704286c45a124a6f35b4e7de847e32ea5"", ""count"": 2}, {""handle"": ""hkooooo"", ""count"": 1}]"
70.13,Seattle,March 9,highest,F,3,5,1,4,262.69,0.0,"[{""label"": ""42-43F"", ""count"": 4}, {""label"": ""44-45F"", ""count"": 1}]","{""exact_range"": 5}","{""YES"": 3, ""NO"": 1, ""BUY"": 1}","[{""handle"": ""0xhana"", ""count"": 2}, {""handle"": ""daasw"", ""count"": 2}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 1}]"
70.07,London,March 20,highest,C,3,6,1,5,107.48,0.0,"[{""label"": ""15C"", ""count"": 2}, {""label"": ""13C"", ""count"": 1}, {""label"": ""16C"", ""count"": 1}, {""label"": ""12C"", ""count"": 1}, {""label"": ""17C"", ""count"": 1}]","{""exact_value"": 6}","{""YES"": 5, ""BUY"": 1}","[{""handle"": ""mjf02"", ""count"": 4}, {""handle"": ""syacxxa"", ""count"": 1}, {""handle"": ""smallyua"", ""count"": 1}]"
70.07,Jeddah,April 14,highest,C,3,5,0,5,256.86,0.0,"[{""label"": ""31C"", ""count"": 1}, {""label"": ""32C"", ""count"": 1}, {""label"": ""33C"", ""count"": 1}, {""label"": ""34C"", ""count"": 1}, {""label"": ""35C or higher"", ""count"": 1}]","{""exact_value"": 4, ""threshold_high"": 1}","{""YES"": 4, ""NO"": 1}","[{""handle"": ""hkooooo"", ""count"": 3}, {""handle"": ""GbushiCshuo"", ""count"": 1}, {""handle"": ""0x5264b001677b47dd2E20fe20213749DbD7909a63-1770895753458"", ""count"": 1}]"
70.04,Buenos Aires,January 30,highest,C,3,6,2,4,104.12,0.0,"[{""label"": ""30C or below"", ""count"": 4}, {""label"": ""31C"", ""count"": 1}, {""label"": ""32C"", ""count"": 1}]","{""threshold_low"": 4, ""exact_value"": 2}","{""YES"": 3, ""BUY"": 1, ""NO"": 1, ""SELL"": 1}","[{""handle"": ""0x22AB768409A2C6ef788F5c32CFb6d1aB4eCbd485-1760969593818"", ""count"": 3}, {""handle"": ""syacxxa"", ""count"": 2}, {""handle"": ""Lovemaker-998"", ""count"": 1}]"
70.02,San Francisco,April 11,highest,F,3,5,0,5,251.58,0.0,"[{""label"": ""66F or higher"", ""count"": 2}, {""label"": ""64-65F"", ""count"": 1}, {""label"": ""60-61F"", ""count"": 1}, {""label"": ""62-63F"", ""count"": 1}]","{""exact_range"": 3, ""threshold_high"": 2}","{""YES"": 4, ""NO"": 1}","[{""handle"": ""Amano-Hina"", ""count"": 3}, {""handle"": ""Wistesty"", ""count"": 1}, {""handle"": ""0x5264b001677b47dd2E20fe20213749DbD7909a63-1770895753458"", ""count"": 1}]"
70.0,Dallas,February 25,highest,F,2,20,20,0,0.0,0.0,"[{""label"": ""88-89F"", ""count"": 14}, {""label"": ""84-85F"", ""count"": 3}, {""label"": ""82-83F"", ""count"": 3}]","{""exact_range"": 20}","{""BUY"": 20}","[{""handle"": ""mkuu"", ""count"": 14}, {""handle"": ""0x22AB768409A2C6ef788F5c32CFb6d1aB4eCbd485-1760969593818"", ""count"": 6}]"
69.79,London,January 4,highest,C,3,6,3,3,78.99,0.0,"[{""label"": ""3C"", ""count"": 3}, {""label"": ""2C"", ""count"": 1}, {""label"": ""4C"", ""count"": 1}, {""label"": ""1C"", ""count"": 1}]","{""exact_value"": 6}","{""YES"": 2, ""BUY"": 2, ""NO"": 1, ""SELL"": 1}","[{""handle"": ""Lmaccoinz"", ""count"": 4}, {""handle"": ""Walter-Weather"", ""count"": 1}, {""handle"": ""sdgoppa"", ""count"": 1}]"
69.77,Singapore,April 16,highest,C,3,6,4,2,77.16,0.0,"[{""label"": ""33C"", ""count"": 2}, {""label"": ""34C or higher"", ""count"": 2}, {""label"": ""30C"", ""count"": 1}, {""label"": ""29C"", ""count"": 1}]","{""exact_value"": 4, ""threshold_high"": 2}","{""SELL"": 4, ""NO"": 2}","[{""handle"": ""0x173516ae13b47be650a6df996ec4ff2f24950319"", ""count"": 4}, {""handle"": ""ColdMath"", ""count"": 1}, {""handle"": ""Railbird"", ""count"": 1}]"
69.77,Houston,April 13,highest,F,3,6,3,3,76.59,0.0,"[{""label"": ""78-79F"", ""count"": 3}, {""label"": ""80F or higher"", ""count"": 2}, {""label"": ""76-77F"", ""count"": 1}]","{""exact_range"": 4, ""threshold_high"": 2}","{""YES"": 2, ""SELL"": 2, ""BUY"": 1, ""NO"": 1}","[{""handle"": ""0x77266604E63f5cAF08D19CaEBae0C563ce64aEE"", ""count"": 3}, {""handle"": ""Wistesty"", ""count"": 2}, {""handle"": ""GbushiCshuo"", ""count"": 1}]"
69.75,Seattle,April 17,highest,F,3,6,2,4,75.04,0.0,"[{""label"": ""56-57F"", ""count"": 4}, {""label"": ""54-55F"", ""count"": 2}]","{""exact_range"": 6}","{""YES"": 3, ""BUY"": 2, ""NO"": 1}","[{""handle"": ""Lucky-Boy"", ""count"": 4}, {""handle"": ""kamikazetrading"", ""count"": 1}, {""handle"": ""Amano-Hina"", ""count"": 1}]"
